YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,17,4,3.32,0.0,100.0,3.62,99.24,202104
2021,4,17,5,3.6,0.0,99.25,3.87,99.23,202104
2021,4,17,6,4.55,0.0,93.88,4.26,99.25,202104
2021,4,17,7,5.16,0.0,87.81,4.42,99.27,202104
2021,4,17,8,5.69,0.0,81.5,4.63,99.29,202104
2021,4,17,9,6.11,0.0,76.06,4.75,99.31,202104
2021,4,17,10,6.3,0.0,73.31,4.94,99.33,202104
2021,4,17,11,6.44,0.0,71.88,4.96,99.32,202104
2021,4,17,12,6.8,0.0,70.38,4.65,99.32,202104
2021,4,17,13,7.28,0.0,68.81,4.25,99.31,202104
2021,4,17,14,7.74,0.0,67.75,3.76,99.28,202104
2021,4,17,15,7.94,0.0,66.88,3.27,99.26,202104
2021,4,17,16,7.79,0.0,66.25,2.87,99.26,202104
2021,4,17,17,7.13,0.0,68.56,2.45,99.27,202104
2021,4,17,18,5.65,0.0,75.75,2.19,99.29,202104
2021,4,17,19,4.93,0.0,73.62,2.17,99.31,202104
2021,4,17,20,4.75,0.0,70.12,1.84,99.32,202104
2021,4,17,21,5.07,0.0,65.12,1.05,99.32,202104
2021,4,17,22,5.3,0.0,64.81,0.46,99.31,202104
2021,4,17,23,5.24,0.0,67.75,0.98,99.3,202104
2021,4,18,0,5.08,0.0,69.81,1.54,99.28,202104
2021,4,18,1,4.93,0.0,72.62,1.91,99.26,202104
2021,4,18,2,4.85,0.0,75.19,2.13,99.25,202104
2021,4,18,3,4.75,0.0,77.62,2.24,99.25,202104
2021,4,18,4,4.61,0.0,79.44,2.3,99.25,202104
2021,4,18,5,4.61,0.0,80.88,2.22,99.26,202104
2021,4,18,6,5.37,0.0,79.69,2.12,99.28,202104
2021,4,18,7,5.9,0.0,78.31,2.08,99.29,202104
2021,4,18,8,6.73,0.0,77.38,2.2,99.29,202104
2021,4,18,9,8.26,0.0,70.62,2.62,99.27,202104
2021,4,18,10,9.84,0.0,61.19,2.9,99.23,202104
2021,4,18,11,11.21,0.0,53.69,3.01,99.15,202104
2021,4,18,12,12.01,0.0,50.81,3.03,99.08,202104
2021,4,18,13,12.26,0.0,50.62,3.06,99.03,202104
